,Song,lenght,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,tempo,beat,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,genre
83,Unbreakable_Kimmy,32.20608333333333,0.3240558,2753.002931413746,2985.9432134264503,5497.149213576159,0.11676463,0.05881024291183775,99.38401442307692,0.1553301,-145.84373,75.19758,-23.00715,18.838844,-24.765903,6.2848215,-19.364258,4.5659595,-17.76467,8.411743,-9.622846,11.392349,-5.1289816,9.401437,-4.213992,4.085279,-5.192636,5.157219,-2.4302444,9.208257,comedy
84,A_Series_Unfortunate_Events,73.07320833333333,0.5170533,2504.90576422222,2782.7555578381516,4662.416982922201,0.09968485,0.03066500328419209,123.046875,0.1808587,-186.44179,130.94981,-10.422877,33.14364,-1.9602183,15.345098,-6.4351015,7.5663986,-8.6142235,9.590521,-11.87311,12.154046,-5.310452,6.4363585,-2.430726,7.117297,-6.004827,4.6050057,-4.80031,-1.2090834,adventure
85,Severance,86.37825,0.3944532,895.1299430363362,1589.0116206090102,1584.2945403185972,0.061700255,0.017092557093572488,117.45383522727273,0.07687443,-329.72452,117.442276,17.380045,20.593784,0.7792166,6.9550214,3.659497,9.12416,1.010914,1.6228759,-4.832916,2.8509138,1.3170974,1.7904962,0.22309689,1.6432134,1.5651252,4.8116508,3.848464,4.3187876,drama
86,True_Detective,105.314125,0.46094838,1768.8890049892157,2580.8869131866336,3836.619531091756,0.08023751,0.025799091996657888,112.34714673913044,0.12693144,-229.48117,101.83697,-3.3518195,37.69764,4.922642,22.308872,-5.886755,18.867533,-6.664882,6.893771,-11.01246,4.9221025,-6.567202,5.725648,-3.6811936,5.589797,-6.7943783,-1.5951478,-5.233054,3.1166356,crime
87,The_X_files,42.99175,0.29094872,1212.9892696659047,1801.006843218909,1821.7176258992806,0.052589245,0.035790010233192754,172.265625,0.22707649,-267.29715,166.50412,-17.78486,15.3434105,1.149447,13.540604,-9.980939,-2.9306257,-8.078085,4.926994,-2.6736457,2.9605758,-7.8018346,-3.692415,-3.7774007,4.9677978,0.561135,-2.6531928,-7.7057166,-1.4338224,crime
88,The_Book_Of_Boba Fett,17.310479166666667,0.64152557,916.8292321316294,1563.3375452828564,1745.0612292051756,0.070445746,0.01450733835874923,117.45383522727273,0.12616554,-267.81555,168.48479,-12.408109,38.895008,10.237376,10.483733,7.095424,7.3728323,5.3926244,5.7870107,3.0525913,2.3644578,0.5966188,1.5610303,2.75732,2.6767857,1.076749,3.6591287,0.20261349,0.4547776,action
89,Hawaii_Five,30.940604166666667,0.5188293,3304.1312098521103,3960.6393210033816,7948.002843846949,0.03941555,0.06099442406713202,123.046875,0.15189475,-212.9803,104.06216,-3.7504015,26.734222,1.1970888,24.36272,-3.7099147,15.845619,-5.9129486,11.787648,-8.858824,10.460325,-9.891193,8.584055,-7.6672626,8.191957,-7.0676494,6.9670525,-10.39584,2.275692,action
90,Jupiter_Legacy,45.66204166666667,0.7541207,1267.0964966780068,2266.7338982034476,2716.7024351786968,0.16249046,0.010052366196566223,151.99908088235293,0.15646848,-220.04457,119.90316,4.1478176,40.260418,11.099627,19.915377,8.071204,23.59721,6.787873,15.55412,3.7688656,16.83015,7.2018957,15.905671,5.9336743,11.4811325,-0.7663618,5.0291977,1.0576504,6.615559,action
91,Jessica_Jones,68.82395833333334,0.55528796,1133.2312679751922,1878.7320582378889,2220.584175964668,0.08854875,0.01794034448609174,117.45383522727273,0.12453786,-249.6538,142.93794,6.4272804,36.711887,11.344126,17.901665,2.5583394,9.569847,2.1925678,12.6292715,2.093452,4.0870113,2.2437766,4.68058,-3.182095,3.1442227,-1.5154103,4.131516,2.733889,4.108006,action
92,The_Morning_Show,110.41089583333333,0.4707771,1187.2775241663596,1752.8927060671956,2305.9221647990726,0.08003546,0.021387633805665572,107.666015625,0.14064841,-263.27423,119.23545,-9.691046,20.601286,11.647756,21.53918,16.942322,12.494476,-7.9536796,-4.788928,0.19712918,2.2574046,-10.818434,-5.430863,2.5241957,6.6383715,-4.829123,4.626937,2.8216956,-5.435344,drama
